metric,spearman_rho,p_value,source_file,domain_variant,control_variant,seed
v_raw,-0.2262719703977798,0.1305072144629773,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.correlations.csv,accessible,matchedctrl,17
v_ctrl,-0.0462748776986677,0.7600784626352229,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.correlations.csv,accessible,matchedctrl,17
v_struct,-0.0744372494603761,0.6229688821293942,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.correlations.csv,accessible,matchedctrl,17
word_len,0.1662656662741106,0.2694443912784289,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.correlations.csv,accessible,matchedctrl,17
is_ai,0.3971965414559176,0.0062717766989387,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed17_dn32.correlations.csv,accessible,matchedctrl,17
v_raw,-0.2743755781683626,0.0649964081358831,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.correlations.csv,accessible,matchedctrl,18
v_ctrl,-0.0637976313872299,0.6735958233933221,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.correlations.csv,accessible,matchedctrl,18
v_struct,-0.0970089423373419,0.5212920571634316,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.correlations.csv,accessible,matchedctrl,18
word_len,0.1662656662741106,0.2694443912784289,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.correlations.csv,accessible,matchedctrl,18
is_ai,0.3971965414559176,0.0062717766989387,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.correlations.csv,accessible,matchedctrl,18
v_raw,-0.2230650632130743,0.1361946975524362,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.correlations.csv,accessible,matchedctrl,19
v_ctrl,-0.0366497031373448,0.8089267989656795,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.correlations.csv,accessible,matchedctrl,19
v_struct,-0.0475485661424606,0.7536786373672604,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.correlations.csv,accessible,matchedctrl,19
word_len,0.1662656662741106,0.2694443912784289,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.correlations.csv,accessible,matchedctrl,19
