readout,metric,source_score_col,feature_set,rho,p_value,n_items,fold_seed,seed,source_file
compression,score_pref_raw,v_pref_raw,none,,,0,101,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed17_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,101,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed17_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,101,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed17_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,101,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed17_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,101,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed17_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,101,17,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed17_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,101,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed18_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,101,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed18_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,101,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed18_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,101,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed18_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_targets,,,0,101,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed18_dn8.csv
compression,score_pref_struct,v_pref_struct,other_human_plus_surface,,,0,101,18,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed18_dn8.csv
compression,score_pref_raw,v_pref_raw,none,,,0,101,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed19_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_targets,,,0,101,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed19_dn8.csv
compression,score_pref_raw,v_pref_raw,other_human_plus_surface,,,0,101,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed19_dn8.csv
compression,score_pref_struct,v_pref_struct,none,,,0,101,19,vscore_distilgpt2_prefcontrast_kfold_surface_chaudhuri_Surprise_foldseed101_seed19_dn8.csv
