readout,metric,feature_set,n_runs,mean_rho,std_rho,min_rho,max_rho,sig_05
compression,score_pref_raw,none,0,,,,,0
embedding,score_pref_raw,none,25,0.24177198058501767,0.10552718633406771,0.008756681658276626,0.45135542959205266,3
tfidf,score_pref_raw,none,25,0.1654343204816885,0.11805533998456971,-0.10598160301120094,0.3709999979043377,3
compression,score_pref_struct,none,0,,,,,0
embedding,score_pref_struct,none,25,0.2113708422631655,0.06829418621029187,0.09452065201728006,0.3276029138037609,0
tfidf,score_pref_struct,none,25,0.11476919060474207,0.11596004343247862,-0.141265879104845,0.29940124787489936,0
compression,score_pref_raw,other_human_plus_surface,0,,,,,0
embedding,score_pref_raw,other_human_plus_surface,25,0.04039124839124839,0.09324688982361733,-0.19510939510939512,0.1861003861003861,0
tfidf,score_pref_raw,other_human_plus_surface,25,0.18532818532818535,0.09966507276119115,-0.055083655083655085,0.3441441441441441,2
compression,score_pref_struct,other_human_plus_surface,0,,,,,0
embedding,score_pref_struct,other_human_plus_surface,25,0.13817245817245818,0.09142127982139854,-0.05328185328185329,0.2836550836550837,0
tfidf,score_pref_struct,other_human_plus_surface,25,0.09637065637065638,0.12526331361268464,-0.20514800514800519,0.2682110682110682,0
compression,score_pref_raw,other_human_targets,0,,,,,0
embedding,score_pref_raw,other_human_targets,25,0.04039124839124839,0.09324688982361733,-0.19510939510939512,0.1861003861003861,0
tfidf,score_pref_raw,other_human_targets,25,0.18532818532818535,0.09966507276119115,-0.055083655083655085,0.3441441441441441,2
compression,score_pref_struct,other_human_targets,0,,,,,0
embedding,score_pref_struct,other_human_targets,25,0.13817245817245818,0.09142127982139854,-0.05328185328185329,0.2836550836550837,0
tfidf,score_pref_struct,other_human_targets,25,0.09637065637065638,0.12526331361268464,-0.20514800514800519,0.2682110682110682,0
